Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
ClusterSummary                        "clusterSummaryProducer"    ""                "RECO"    
HcalNoiseSummary                      "hcalnoise"                 ""                "RECO"    
HcalUnpackerReport                    "castorDigis"               ""                "RECO"    
HcalUnpackerReport                    "hcalDigis"                 ""                "RECO"    
L1GlobalTriggerObjectMaps             "l1L1GtObjectMap"           ""                "RECO"    
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"    
double                                "ak5CastorJets"             "rho"             "RECO"    
double                                "ak7CastorJets"             "rho"             "RECO"    
double                                "akPu3CaloJets"             "rho"             "RECO"    
double                                "akPu3PFJets"               "rho"             "RECO"    
double                                "akPu4CaloJets"             "rho"             "RECO"    
double                                "akPu4PFJets"               "rho"             "RECO"    
double                                "akPu5CaloJets"             "rho"             "RECO"    
double                                "akPu5PFJets"               "rho"             "RECO"    
double                                "akVs2CaloJets"             "rho"             "RECO"    
double                                "akVs3CaloJets"             "rho"             "RECO"    
double                                "akVs3PFJets"               "rho"             "RECO"    
double                                "akVs4CaloJets"             "rho"             "RECO"    
double                                "akVs4PFJets"               "rho"             "RECO"    
double                                "akVs5CaloJets"             "rho"             "RECO"    
double                                "akVs5PFJets"               "rho"             "RECO"    
double                                "iterativeConePu5CaloJets"   "rho"             "RECO"    
double                                "ak5CastorJets"             "sigma"           "RECO"    
double                                "ak7CastorJets"             "sigma"           "RECO"    
double                                "akPu3CaloJets"             "sigma"           "RECO"    
double                                "akPu3PFJets"               "sigma"           "RECO"    
double                                "akPu4CaloJets"             "sigma"           "RECO"    
double                                "akPu4PFJets"               "sigma"           "RECO"    
double                                "akPu5CaloJets"             "sigma"           "RECO"    
double                                "akPu5PFJets"               "sigma"           "RECO"    
double                                "akVs2CaloJets"             "sigma"           "RECO"    
double                                "akVs3CaloJets"             "sigma"           "RECO"    
double                                "akVs3PFJets"               "sigma"           "RECO"    
double                                "akVs4CaloJets"             "sigma"           "RECO"    
double                                "akVs4PFJets"               "sigma"           "RECO"    
double                                "akVs5CaloJets"             "sigma"           "RECO"    
double                                "akVs5PFJets"               "sigma"           "RECO"    
double                                "iterativeConePu5CaloJets"   "sigma"           "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "RECO"    
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "RECO"    
edm::ConditionsInEventBlock           "conditionsInEdm"           ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "displacedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "refittedStandAloneMuons"   ""                "RECO"    
edm::OwnVector<TrackingRecHit,edm::ClonePolicy<TrackingRecHit> >    "standAloneMuons"           ""                "RECO"    
edm::RangeMap<CSCDetId,edm::OwnVector<CSCSegment,edm::ClonePolicy<CSCSegment> >,edm::ClonePolicy<CSCSegment> >    "cscSegments"               ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DCosmicSegments"        ""                "RECO"    
edm::RangeMap<DTChamberId,edm::OwnVector<DTRecSegment4D,edm::ClonePolicy<DTRecSegment4D> >,edm::ClonePolicy<DTRecSegment4D> >    "dt4DSegments"              ""                "RECO"    
edm::RangeMap<RPCDetId,edm::OwnVector<RPCRecHit,edm::ClonePolicy<RPCRecHit> >,edm::ClonePolicy<RPCRecHit> >    "rpcRecHits"                ""                "RECO"    
edm::SortedCollection<CaloTower,edm::StrictWeakOrdering<CaloTower> >    "PFTowers"                  ""                "RECO"    
