0   2000
0.560967   2.48156   3.39557
0.757295   1.6463   3.45051
5.03499   1.37088   2.02476
5.28987   0.853236   5.74133
6.04815   1.47202   4.63997
1.89833   2.08503   5.02443
0.701199   2.93235   5.86463
0.646045   0.236439   0.959641
7.81155   0.82816   0.525518
2.61231   2.7205   5.60315
0.447568   2.89771   1.3639
4.73579   0.935047   1.82354
0.406122   0.714976   4.25968
0.475959   1.55871   4.91923
0.950304   2.87366   4.38065
2.48472   2.87472   5.57055
7.67853   2.62631   0.170808
0.504261   2.04987   1.62574
0.581514   1.86366   3.91326
1.03492   1.53971   4.7353
2.16709   0.594829   6.0736
0.555471   1.76997   1.23731
4.02386   0.71835   0.420256
0.384723   2.29797   4.18713
1.64379   1.69781   0.101376
5.58406   0.985406   3.57183
1.2896   0.396883   4.45909
5.03145   0.398815   6.22436
3.28914   2.26862   3.91771
3.18215   1.23895   0.527004
4.71063   2.78667   3.8971
1.03293   2.82186   5.18294
1.34098   1.86698   1.07173
3.57458   1.90264   0.828667
4.60313   0.914597   1.61744
0.398349   2.81997   3.97581
6.32701   2.81612   5.74209
0.60828   2.7904   1.47053
4.13216   2.70359   0.195318
9.19801   0.334959   4.39749
1.96224   2.1592   3.13701
0.603066   0.779137   1.20728
9.62583   1.86417   2.52174
9.88097   1.36347   5.29155
3.5018   1.19896   5.31363
0.638843   1.84038   4.51281
9.92424   2.82169   1.38585
0.25365   2.09506   2.68493
0.931826   1.04576   5.13867
1.49569   0.785677   2.8127
3.63597   2.87588   4.3366
1.92437   0.503853   0.385721
8.74106   0.198442   5.87144
0.670386   2.28293   1.39883
4.09726   1.0469   4.21407
5.39451   0.608789   5.17564
0.859712   0.218134   0.12438
1.13561   2.96043   2.94957
0.207092   2.75067   3.73631
3.10451   0.624174   1.15335
9.22679   1.58539   0.689698
1.80293   0.672859   0.959797
4.09789   0.225391   3.79845
0.91857   0.332885   5.62386
1.06762   2.42593   3.36275
6.84142   0.562398   0.733932
1.48291   2.65934   4.08024
0.954053   2.9426   5.17649
1.35862   1.79547   6.12251
1.666   2.82729   2.52676
